ra,dec,lum,z,stellarmasses,halomasses,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,bestObjID,PS15mJy_cut,PS100mJy_cut,divcut,divcuts18,galcut,incompsepregion,S18coadd,S16ILC
140.19964,-0.89640846,62463109664.845085,0.5844325,187389328994.53525,10432087039307.75,23.32159,21.64589,20.1537,19.48163,19.21311,0.6306675,0.1060473,0.05290763,0.03860484,0.1070322,26.91129,21.71894,20.27601,19.4271,19.63623,0.9046715,0.2724552,0.1147648999999999,0.07972332,0.3967485,0.1402323999999999,0.1092682,0.07559121,0.05617237,0.04178192,1.237648720139584e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
140.54111,-0.85371151,148583830443.62335,0.63232,445751491330.8701,63559512342608.03,26.51043,22.12463,20.24896,19.03343,18.56416,0.3928920999999999,0.2305781,0.06259553,0.0350391,0.1114583,27.80892,22.46245,20.46671,19.13488,18.740920000000006,0.4799353,0.6646379,0.09490619,0.07088871,0.1902022,0.1425698,0.1110894,0.07685115,0.05710864,0.04247834,1.237648720139715e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
140.63605,-0.86432345,55913735801.48614,0.5580407,167741207404.4584,8440732492456.465,24.34096,22.82014,20.99128,19.61712,19.29468,1.589002,0.2485702,0.07444488,0.04184877,0.107,24.79769,23.31495,21.01639,19.70396,19.09479,2.676087,0.952037,0.1633224,0.08321323,0.1899762,0.1402707,0.1092979,0.07561181,0.05618768,0.04179331,1.2376487201397804e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
140.70898,-0.9927613,112804145133.0157,0.4571176999999999,338412435399.0471,34874521827040.99,20.30631,21.47852,19.36212,18.54408,18.12606,0.2965532999999999,0.09887967,0.02818361,0.0218398,0.0495403,20.5007,21.80022,19.32331,18.64456,18.28564,0.3090467,0.6075505,0.07682753,0.06084746,0.1602878999999999,0.1361412,0.1060803,0.07338584,0.05453355,0.04056294,1.2376487201397806e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
140.84864,-1.0004552,152693261458.6564,0.6030972,458079784375.9693,67531669264649.77,21.88419,21.80783,19.86695,18.86164,18.37335,0.4802084,0.1500017,0.04046007,0.02677631,0.04981105,21.45736,23.78113,19.88991,18.81979,18.30735,0.5528963000000001,3.799381,0.09809522,0.07012223,0.1506787,0.1293882,0.1008184,0.0697457,0.05182853,0.03855091,1.237648720139846e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
140.86653,-0.91107597,46565667611.48312,0.5367218,139697002834.44934,6019813836809.933,22.03442,22.3322,20.8183,19.77849,19.4057,0.5791531,0.1596083999999999,0.06305384,0.04069721,0.1015661,22.21702,21.98203,20.7843,19.77825,19.49854,0.5847208,0.2625241,0.1382854,0.08092177,0.3287869,0.1353059999999999,0.1054295,0.07293565,0.054199,0.0403141,1.237648720139846e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
140.8954,-0.94139514,38113084105.98473,0.5228795999999999,114339252317.9542,4236668665493.614,20.14747,21.82156,20.81826,19.88422000000001,19.4984,0.6236090999999999,0.1914744,0.07025706,0.04629715,0.1114069999999999,22.27306,22.11163,20.9194,20.03233,19.54317,0.6993676999999999,0.3422078,0.1439474999999999,0.1215014,0.2693415999999999,0.1382877,0.1077528,0.07454292,0.05539338,0.0412024999999999,1.237648720139847e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
141.25042,-0.85181527,36285895049.95022,0.4333068000000001,108857685149.85065,3899681525249.575,23.45981,21.99253,20.18186,19.51287,19.34955,0.6037585999999999,0.1589475,0.05326747,0.0352529,0.09329848,27.48516,22.12663,20.18237,19.40738,21.46214,0.7484069,0.8530675999999999,0.1268148,0.1115658999999999,3.4666330000000003,0.1219137999999999,0.09499439,0.06571668,0.04883453,0.03632392,1.2376487201400428e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
132.58622,-0.4722154999999999,91292062734.22702,0.4585520999999999,273876188202.68103,22335987619512.9,24.43703,21.25752,19.48404,18.68462,18.44032,0.9478149,0.1317799,0.03421868,0.02420661,0.06850324,27.63907,20.9445,19.48958,18.70317,18.42344,1.147621,0.3189359,0.1873658999999999,0.09492218,0.3210261,0.1214833,0.09465898,0.06548464,0.04866211,0.03619567,1.2376487206731128e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
132.59845,-0.49642588,72060932907.44127,0.5229975,216182798722.3238,13811351931634.734,24.05175,22.52683,20.41904,19.58187,18.58105,0.9297418,0.2087362999999999,0.07507589,0.04195355,0.09507199,26.7764,24.20747,20.62849,19.60139,18.83237,0.9854384,2.865118,0.1443477999999999,0.08736508,0.169576,0.1207841,0.09411415,0.06510774,0.04838203,0.03598734,1.2376487206731128e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
